Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",15-44 years,,268,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",45-64 years,,193,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",65-74 years,,59,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",75-84 years,,31,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",85 years and over,,30,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",All ages,10,604,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",0-14 years,0,279,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",15-44 years,74,1010,81,25,,136,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",45-64 years,823,4383,806,421,37,1244,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",65-74 years,1325,5327,1284,716,32,1925,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",75-84 years,1908,6556,1859,1058,38,2746,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",85 years and over,2076,6804,2049,1200,42,2966,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, inpatient",All ages,6206,24359,6081,3420,155,9019,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",0-14 years,0,51,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",15-44 years,13,568,,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",45-64 years,68,1378,32,13,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",65-74 years,61,1091,46,17,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",75-84 years,62,1061,69,20,,113,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",85 years and over,74,923,68,13,0,129,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, outpatient or emergency room",All ages,278,5072,226,67,10,444,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,15-44 years,0,42,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,45-64 years,,481,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,65-74 years,,689,34,,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,75-84 years,21,879,53,15,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,85 years and over,30,1217,82,13,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Hospice facility,All ages,63,3308,177,35,12,217,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,15-44 years,,16,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,45-64 years,90,649,35,21,,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,65-74 years,383,1716,118,62,0,439,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,75-84 years,1039,4021,359,205,,1201,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,85 years and over,2867,10148,985,553,,3306,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Nursing home/longterm care facility,All ages,4383,16550,1498,842,18,5055,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,0-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,15-44 years,,599,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,45-64 years,,561,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,65-74 years,17,391,,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,75-84 years,76,812,26,10,0,92,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,85 years and over,275,2215,84,32,,328,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Other,All ages,375,4587,129,46,,459,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Place of death unknown,All ages,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,All places of death,All ages,1132,15182,970,300,37,1836,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,0-14 years,0,14,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,15-44 years,,295,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,45-64 years,,1136,,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,65-74 years,11,1207,17,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,75-84 years,10,1303,25,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,85 years and over,19,1544,38,,0,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Decedent's home,All ages,50,5499,91,,,137,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",85 years and over,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, dead on arrival",All ages,,23,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",0-14 years,0,39,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",15-44 years,,153,10,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",45-64 years,41,638,75,19,,99,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",65-74 years,99,955,168,64,11,214,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",75-84 years,143,1035,203,79,,275,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",85 years and over,141,931,175,79,,245,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, inpatient",All ages,427,3751,631,242,31,845,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",0-14 years,0,20,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",15-44 years,,67,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",45-64 years,,196,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",65-74 years,,141,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",75-84 years,,117,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",85 years and over,,73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,"Healthcare setting, outpatient or emergency room",All ages,17,614,19,,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Hospice facility,15-44 years,0,10,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Hospice facility,45-64 years,0,107,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Hospice facility,65-74 years,,147,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,New Hampshire,Hospice facility,75-84 years,,157,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
